trial,mode,binary_outcome,continuous_outcome,steps_taken,x,y,table_height,camera_azimuth,camera_elevation,camera_distance
29,initial_random,1.0,3.0,10,0.5,0.6000000000000001,3.0,90.0,70.0,84.0
30,initial_random,1.0,3.0,9,0.4,0.3,3.0,15.0,30.0,103.0
31,active,0.0,1.0,35,0.3,1.0,1.0,90.0,70.0,84.0
32,active,0.0,0.0,35,0.0,0.0,3.0,15.0,30.0,103.0
33,active,0.0,0.0,35,0.3,0.8,1.0,15.0,30.0,103.0
34,active,0.0,1.0,35,0.8,1.0,1.0,-30.0,30.0,102.0
35,active,0.0,0.0,35,0.0,0.6000000000000001,3.0,15.0,30.0,103.0
36,active,0.0,0.5,35,0.0,0.3,2.0,-30.0,30.0,102.0
37,active,0.0,1.0,35,0.8,0.7000000000000001,1.0,90.0,70.0,84.0
38,active,1.0,3.0,10,0.1,0.0,2.0,90.0,70.0,84.0
39,active,0.0,1.0,35,0.1,0.5,1.0,90.0,70.0,84.0
40,active,0.0,0.0,35,0.0,1.0,1.0,-30.0,30.0,102.0
41,active,0.0,1.0,35,0.0,0.0,1.0,-30.0,30.0,102.0
42,active,0.0,2.0,35,0.7000000000000001,0.4,2.0,90.0,70.0,84.0
43,active,0.0,2.5,35,1.0,0.9,2.0,15.0,30.0,103.0
44,active,0.0,0.0,35,0.0,0.9,3.0,90.0,70.0,84.0
45,active,1.0,3.0,9,0.2,0.1,3.0,-30.0,30.0,102.0
46,active,0.0,1.0,35,1.0,0.9,1.0,90.0,70.0,84.0
47,active,0.0,2.5,35,0.7000000000000001,0.4,3.0,15.0,30.0,103.0
48,active,0.0,1.0,35,0.0,0.2,3.0,90.0,70.0,84.0
49,active,0.0,1.0,35,0.5,0.9,1.0,90.0,70.0,84.0
50,active,0.0,1.0,35,0.5,1.0,3.0,-30.0,30.0,102.0
51,active,0.0,1.0,35,0.4,0.5,1.0,-30.0,30.0,102.0
52,active,0.0,2.5,35,0.4,0.1,3.0,90.0,70.0,84.0
53,active,0.0,2.0,35,1.0,0.6000000000000001,3.0,90.0,70.0,84.0
54,active,0.0,0.0,35,0.0,0.6000000000000001,3.0,-30.0,30.0,102.0
55,active,0.0,1.0,35,0.5,1.0,1.0,-30.0,30.0,102.0
56,active,0.0,1.5,35,0.2,0.5,3.0,-30.0,30.0,102.0
57,active,0.0,1.5,35,0.5,0.3,1.0,90.0,70.0,84.0
58,active,0.0,0.0,35,0.1,1.0,1.0,90.0,70.0,84.0
59,active,0.0,1.0,35,0.7000000000000001,1.0,2.0,90.0,70.0,84.0
60,active,0.0,1.0,35,0.0,0.2,1.0,90.0,70.0,84.0
61,active,1.0,3.0,9,0.6000000000000001,0.4,3.0,-30.0,30.0,102.0
62,active,0.0,0.0,35,0.0,1.0,2.0,15.0,30.0,103.0
63,active,0.0,1.0,35,1.0,1.0,1.0,-30.0,30.0,102.0
64,active,0.0,1.0,35,0.2,0.0,2.0,-30.0,30.0,102.0
65,active,0.0,1.0,35,1.0,1.0,3.0,90.0,70.0,84.0
66,active,0.0,1.5,35,0.3,0.1,1.0,15.0,30.0,103.0
67,active,0.0,0.0,35,0.0,1.0,3.0,90.0,70.0,84.0
68,active,0.0,2.0,35,1.0,0.6000000000000001,3.0,15.0,30.0,103.0
69,active,0.0,1.0,35,0.6000000000000001,1.0,3.0,15.0,30.0,103.0
70,active,0.0,0.5,35,0.0,0.1,3.0,-30.0,30.0,102.0
71,active,0.0,1.0,35,1.0,0.7000000000000001,1.0,90.0,70.0,84.0
72,active,0.0,2.5,35,0.1,0.5,3.0,90.0,70.0,84.0
73,active,0.0,0.5,35,0.0,0.3,1.0,15.0,30.0,103.0
74,active,0.0,0.0,35,0.4,1.0,1.0,15.0,30.0,103.0
75,active,0.0,1.0,35,0.4,0.6000000000000001,1.0,90.0,70.0,84.0
76,active,0.0,1.0,35,0.4,0.7000000000000001,3.0,15.0,30.0,103.0
77,active,0.0,0.5,35,0.0,0.0,1.0,90.0,70.0,84.0
78,active,0.0,2.5,35,0.5,0.2,3.0,90.0,70.0,84.0
79,active,0.0,0.0,35,0.3,1.0,3.0,90.0,70.0,84.0
80,active,0.0,1.0,35,0.7000000000000001,1.0,1.0,90.0,70.0,84.0
81,active,0.0,1.0,35,0.5,0.3,1.0,-30.0,30.0,102.0
82,active,0.0,2.0,35,0.5,0.7000000000000001,2.0,-30.0,30.0,102.0
83,active,0.0,0.0,35,0.0,0.8,1.0,90.0,70.0,84.0
84,active,0.0,0.0,35,0.0,0.9,3.0,-30.0,30.0,102.0
85,active,0.0,0.0,35,0.2,1.0,1.0,-30.0,30.0,102.0
86,active,1.0,3.0,10,0.2,0.0,3.0,15.0,30.0,103.0
87,active,0.0,1.5,35,0.2,0.5,2.0,-30.0,30.0,102.0
88,active,0.0,1.5,35,0.8,1.0,3.0,15.0,30.0,103.0
89,active,0.0,1.5,35,0.3,0.5,3.0,90.0,70.0,84.0
90,active,0.0,2.5,35,0.6000000000000001,0.6000000000000001,3.0,-30.0,30.0,102.0
91,active,0.0,2.5,35,0.9,0.6000000000000001,1.0,15.0,30.0,103.0
92,active,0.0,1.0,35,0.7000000000000001,1.0,1.0,-30.0,30.0,102.0
93,active,0.0,1.0,35,0.3,0.5,1.0,90.0,70.0,84.0
94,active,0.0,1.5,35,0.8,0.5,3.0,90.0,70.0,84.0
95,active,0.0,2.0,35,0.5,0.2,3.0,-30.0,30.0,102.0
96,active,0.0,1.0,35,0.6000000000000001,0.6000000000000001,1.0,90.0,70.0,84.0
97,active,0.0,1.0,35,0.6000000000000001,1.0,3.0,90.0,70.0,84.0
98,active,0.0,1.0,35,0.2,0.6000000000000001,3.0,15.0,30.0,103.0
99,active,1.0,3.0,12,1.0,1.0,3.0,-30.0,30.0,102.0
100,active,0.0,2.5,35,0.2,0.0,3.0,90.0,70.0,84.0
