trial,mode,x,y,orientation,binary_outcome,continuous_outcome
1,initial_random,0.4038887463362525,0.4318504271318543,,1,4.0
2,initial_random,0.7248028950118598,0.9787050623712225,,0,1.5
3,initial_random,0.5013500443918184,0.42128240259929206,,1,4.0
4,initial_random,0.283601926134014,0.7673842021605844,,1,4.0
5,initial_random,0.07774788677532851,0.05458402137602891,,0,0.0
6,initial_random,0.4847505416168624,0.3543571272577627,,0,1.5
