x,y
0.6234078510196343,0.33877407090694833
0.4539725539584166,0.7051797142504388
0.4966936132098365,0.4969980761509558
0.7982130758781804,0.5768862766236175
0.3130740128195657,0.3380637967853888
0.0676815178848943,0.15687348838254456
0.6227623550260557,0.6033222516699591
0.5437496750846826,0.5507550898579358
0.8712743768116332,0.5204595884823136
0.4369997230486725,0.9542331945743848
0.35969721346885164,0.7341991970565568
0.46195342893699853,0.7579490554323172
0.0,0.9334212539723205
0.7212786066026657,1.0
0.3976745619435656,0.0
0.0,0.5659145830966218
1.0,1.0
0.2518107364983728,0.6393621975812993
0.3528985271955049,1.0
0.25248521061953744,0.49547258136939365
0.5695411268146309,0.8363315664502964
0.0,0.5920957006351585
0.438710399726415,0.5059492562267688
1.0,0.580368145174023
0.5651856442808548,0.7158447767218983
0.3960363821373771,0.5409739443992436
0.0,0.0
0.5545153161286254,0.4380714065336215
0.0,1.0
0.3642223415314534,0.6902787310404935
0.0,0.5387347658335779
0.44387118585136415,0.7657278493393649
0.23591836409681816,0.6287551470128804
0.0,0.42551593729703713
0.4796693656746569,0.7945377937219908
0.3479750787121737,0.48803087541071055
0.3325651851736828,0.6888394083204402
