trial,mode,x,y,orientation,binary_outcome,continuous_outcome,steps_taken
1,initial_random,0.5983938578573589,0.20506507585490952,,0,0.0,35
2,initial_random,0.34712729237817663,0.10059942343414796,,0,0.5,35
3,initial_random,0.39795368008591137,0.3301851757092127,,0,1.0,35
4,initial_random,0.7199306399763363,0.7845027873067122,,0,1.0,35
5,initial_random,0.16403343848777352,0.8274095999008717,,1,4.0,15
6,initial_random,0.45224764173423937,0.5000162495444994,,1,4.0,24
7,initial_random,0.695606054888503,0.7957004870509344,,0,1.5,35
8,initial_random,0.715,0.909,,0,1.5,35
