trial,mode,x,y,orientation,binary_outcome,continuous_outcome
1,iid,0.22543504380571078,0.04115373491270746,,1,4.0
2,iid,0.1806615381254313,0.6166395478458597,,1,4.0
3,iid,0.900272011941898,0.6990896883272519,,0,1.0
4,iid,0.09214869957808369,0.801633639969334,,1,4.0
5,iid,0.6225367361413671,0.7241881800208724,,1,4.0
6,iid,0.10251559097076002,0.09863512773002092,,1,4.0
7,iid,0.0995278803052152,0.9994906201803496,,1,4.0
8,iid,0.01816004064814547,0.3523172006542108,,1,4.0
9,iid,0.5803774321193684,0.6765060411913061,,1,4.0
10,iid,0.4214255237473583,0.9454699385731727,,0,0.0
11,iid,0.9494372073089838,0.647830648498694,,0,1.0
12,iid,0.5491482651008543,0.8618535663462926,,1,4.0
13,iid,0.5523448584129409,0.5477761985226335,,1,4.0
14,iid,0.3759631291525576,0.9888682028877137,,0,1.0
15,iid,0.5619630873002924,0.1821056913513316,,0,1.0
16,iid,0.7011627060898035,0.609392336816451,,1,4.0
17,iid,0.8534332232011668,0.8933384245684814,,0,1.0
18,iid,0.8758972293605625,0.9572038718587551,,0,1.0
19,iid,0.6504270485978526,0.20767582826548003,,0,1.0
20,iid,0.02102225179456585,0.5452346305269739,,1,4.0
21,iid,0.23046929718728126,0.5664143085222205,,1,4.0
22,iid,0.4377285434589392,0.5138018776522615,,1,4.0
23,iid,0.07504598163163434,0.827978245706525,,0,1.5
24,iid,0.17290408159130366,0.10463309499163809,,1,4.0
25,iid,0.5097356739677595,0.6519657434978237,,1,4.0
26,iid,0.751363679117189,0.8896189011352627,,1,4.0
27,iid,0.0006232823273354393,0.6565627025105645,,1,4.0
28,iid,0.46543433618975394,0.25995511744686395,,1,4.0
29,iid,0.8261686978998334,0.6274432007101577,,0,1.0
30,iid,0.7262981910992685,0.8144688784926298,,1,4.0
31,iid,0.49951720626721563,0.3762663314849084,,0,1.0
32,iid,0.556770988630876,0.5170565852111147,,1,4.0
33,iid,0.103243066338497,0.3052758428945803,,1,4.0
34,iid,0.38114944497755177,0.3467068243264725,,1,4.0
35,iid,0.020751187584277075,0.4682215027089405,,1,4.0
36,iid,0.48691170217552404,0.3692637666340385,,0,1.5
37,iid,0.2325772747963627,0.4540353507845819,,1,4.0
38,iid,0.5618988884964117,0.4191697611648789,,1,3.5
39,iid,0.2451524454534233,0.08375930800212372,,0,1.5
40,iid,0.6567795848871442,0.6845009042732073,,0,1.5
