obj_x,obj_y,table_height,camera_viewpoint,traj_id
0.0,0.1,1,back,1769810350
0.1,0.2,1,back,1769810381
0.3,0.4,1,back,1769810413
0.2,0.2,1,back,1769810444
0.1,0.5,1,back,1769810470
0.1,0.1,1,back,1769810495
0.4,0.2,1,back,1769810658
0.1,0.4,1,back,1769810683
0.4,0.2,1,back,1769810714
0.0,0.4,1,back,1769810735
0.2,0.2,1,back,1769810781
0.4,0.1,1,back,1769810810
0.0,0.4,1,back,1769810832
0.1,0.4,1,back,1769810857
0.0,0.2,1,back,1769810909
