obj_x,obj_y,lid_x,lid_y,lid_on,table_height,camera_viewpoint,traj_id
0.7,0.8,0.5,0.5,True,3.0,back,1767996971.0
0.8,1.0,0.5,0.5,True,3.0,back,1767997306.0
0.8,0.8,0.5,0.5,True,3.0,back,1767997602.0
0.7,1.0,0.5,0.5,True,3.0,back,1767997899.0
0.6,0.8,0.5,0.5,True,3.0,back,1767998049.0
0.9,0.9,0.5,0.5,True,3.0,back,1767998217.0
0.8,0.8,0.5,0.5,True,3.0,back,1767998269.0
0.7,0.5,3.0,back,1771048374,,,
1.0,1.0,3.0,back,1771048439,,,
0.8,0.6,3.0,back,1771048501,,,
0.9,1.0,3.0,back,1771048566,,,
0.5,0.9,3.0,back,1771048627,,,
0.6,0.8,3.0,back,1771048679,,,
0.7,0.8,3.0,back,1771048724,,,
0.5,0.7,3.0,back,1771048766,,,
1.0,1.0,3.0,back,1771288635,,,
0.8,0.7,3.0,back,1771288681,,,
0.9,1.0,3.0,back,1771288735,,,
0.8,0.7,3.0,back,1771288779,,,
0.8,1.0,3.0,back,1771288820,,,
